state,EST_ST,1,2,3,4,5,6,7,8
ALABAMA,01,36550,41800,47000,52250,56400,60600,64800,68950
ALASKA,02,51650,59000,66400,73750,79650,85550,91450,97350
ARIZONA,04,40400,46150,51900,57700,62300,66900,71500,76150
ARKANSAS,05,34150,39050,43900,48800,52700,56600,60500,64400
CALIFORNIA,06,48800,55750,62700,69700,75250,80850,86400,92000
COLORADO,08,50500,57750,64950,72150,77950,83700,89500,95250
CONNECTICUT,09,54950,62800,70650,78500,84800,91050,97350,103600
DELAWARE,10,45850,52400,58950,65500,70750,76000,81250,86500
FLORIDA,12,38100,43500,48950,54400,58750,63100,67450,71800
GEORGIA,13,40450,46200,52000,57750,62400,67000,71600,76250
HAWAII,15,54400,62150,69900,77700,83900,90100,96300,102550
IDAHO,16,38200,43650,49100,54550,58900,63300,67650,72000
ILLINOIS,17,47100,53800,60550,67300,72650,78050,83450,88800
INDIANA,18,40500,46250,52050,57850,62450,67100,71700,76350
IOWA,19,44650,51000,57400,63750,68850,73950,79050,84150
KANSAS,20,42850,48950,55100,61200,66100,71000,75900,80800
KENTUCKY,21,36600,41850,47100,52300,56500,60700,64900,69050
LOUISIANA,22,36000,41150,46300,51450,55550,59650,63800,67900
MAINE,23,42900,49000,55150,61300,66200,71100,76000,80900
MARYLAND,24,54950,62800,70650,78500,84800,91050,97350,103600
MASSACHUSETTS,25,54950,62800,70650,78500,84800,91050,97350,103600
MICHIGAN,26,41450,47350,53300,59200,63950,68650,73400,78150
MINNESOTA,27,51400,58750,66100,73450,79300,85200,91050,96950
MISSISSIPPI,28,33250,38000,42750,47500,51300,55100,58900,62750
MISSOURI,29,40050,45750,51500,57200,61800,66350,70950,75500
MONTANA,30,41050,46900,52800,58650,63350,68000,72700,77400
NEBRASKA,31,44700,51050,57450,63850,68950,74050,79150,84250
NEVADA,32,42000,48000,54000,60000,64800,69600,74400,79200
NEW HAMPSHIRE,33,54150,61900,69600,77350,83550,89750,95950,102100
NEW JERSEY,34,54950,62800,70650,78500,84800,91050,97350,103600
NEW MEXICO,35,34650,39600,44550,49500,53500,57450,61400,65350
NEW YORK,36,47650,54450,61250,68100,73550,78950,84400,89850
NORTH CAROLINA,37,39200,44800,50400,56000,60500,64950,69450,73900
NORTH DAKOTA,38,48650,55600,62550,69500,75100,80650,86200,91750
OHIO,39,41400,47300,53200,59100,63850,68600,73300,78050
OKLAHOMA,40,36550,41800,47000,52250,56400,60600,64800,68950
OREGON,41,43500,49750,55950,62150,67150,72100,77100,82050
PENNSYLVANIA,42,45200,51650,58100,64550,69700,74900,80050,85200
RHODE ISLAND,44,50300,57450,64650,71850,77600,83350,89100,94850
SOUTH CAROLINA,45,37150,42450,47750,53050,57300,61550,65750,70000
SOUTH DAKOTA,46,43550,49800,56000,62250,67200,72200,77200,82150
TENNESSEE,47,37400,42750,48100,53450,57700,62000,66250,70550
TEXAS,48,41700,47700,53650,59600,64350,69150,73900,78650
UTAH,49,46350,53000,59600,66250,71550,76850,82150,87450
VERMONT,50,44250,50550,56900,63200,68250,73300,78350,83400
VIRGINIA,51,51300,58600,65950,73300,79150,85000,90850,96750
WASHINGTON,53,50300,57450,64650,71850,77600,83350,89100,94850
WEST VIRGINIA,54,33400,38150,42900,47700,51500,55300,59100,62950
WISCONSIN,55,44850,51250,57650,64100,69200,74350,79450,84600
WYOMING,56,44650,51000,57400,63750,68850,73950,79050,84150
DISTRICT OF COLUMBIA,11,55750.00,63700.00,71650.00,79600.00,86000.00,92350.00,98750.00,105100.00
